"LibraryID","ExptID","Species","MitoBarcode","SNVLoci","EndType","ReadLength"
"L1R24P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L2R24P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L3R24P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L4R24P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L5R24P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L6R24P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L8R24P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L9R24P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L10R24P2C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L15R24P2C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L16R24P3C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L17R24P3C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L18R24P3C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L19R24P3C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L20R24P3C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L8R23P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L9R23P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L10R23P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L11R23P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L12R23P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L13R23P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L14R23P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L15R23P1C",730,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L1R23P2B",731,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L2R23P2B",731,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L3R23P2B",731,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L4R23P2B",731,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L5R23P2B",731,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L6R23P2B",731,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L7R23P2B",731,"mouse","M1;M2;M3;M4;M5;M6;M7;M8","v2","SE",150
"L1R30P1B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L2R30P1B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L3R30P1B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L4R30P1B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L5R30P1B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L6R30P1B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L7R30P1B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L8R30P1B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L9R30P2B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L10R30P2B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L11R30P2B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L12R30P2B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L13R30P2B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L14R30P2B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L15R30P2B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L16R30P2B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L21R29P3B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L22R29P3B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L23R29P3B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L24R29P3B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L1R29P1B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L2R29P1B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L3R29P1B",732,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L16R29P2B",733,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L20R29P2B",733,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L4R29P1B",733,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L1R25P1B",733,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L2R25P1B",733,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
"L3R25P1B",733,"mouse","M1;M2;M3;M4;M5;M6;M7;M8;M9;M10","v2","SE",150
